state,count,qn
AL,3,FndRaise_Overall_Chng
AR,2,FndRaise_Overall_Chng
AZ,1,FndRaise_Overall_Chng
CO,14,FndRaise_Overall_Chng
ID,1,FndRaise_Overall_Chng
KY,6,FndRaise_Overall_Chng
LA,3,FndRaise_Overall_Chng
MS,1,FndRaise_Overall_Chng
MT,1,FndRaise_Overall_Chng
NM,4,FndRaise_Overall_Chng
NV,3,FndRaise_Overall_Chng
OK,4,FndRaise_Overall_Chng
TN,8,FndRaise_Overall_Chng
TX,16,FndRaise_Overall_Chng
UT,7,FndRaise_Overall_Chng
WY,6,FndRaise_Overall_Chng
AL,3,FndRaise_Cashbelow250_Chng
AR,2,FndRaise_Cashbelow250_Chng
AZ,1,FndRaise_Cashbelow250_Chng
CO,14,FndRaise_Cashbelow250_Chng
ID,1,FndRaise_Cashbelow250_Chng
KY,6,FndRaise_Cashbelow250_Chng
LA,3,FndRaise_Cashbelow250_Chng
MT,1,FndRaise_Cashbelow250_Chng
NM,4,FndRaise_Cashbelow250_Chng
NV,3,FndRaise_Cashbelow250_Chng
OK,4,FndRaise_Cashbelow250_Chng
TN,7,FndRaise_Cashbelow250_Chng
TX,16,FndRaise_Cashbelow250_Chng
UT,7,FndRaise_Cashbelow250_Chng
WY,6,FndRaise_Cashbelow250_Chng
AL,3,FndRaise_Cashabove250_Chng
AR,2,FndRaise_Cashabove250_Chng
AZ,1,FndRaise_Cashabove250_Chng
CO,14,FndRaise_Cashabove250_Chng
ID,1,FndRaise_Cashabove250_Chng
KY,6,FndRaise_Cashabove250_Chng
LA,3,FndRaise_Cashabove250_Chng
MS,1,FndRaise_Cashabove250_Chng
MT,1,FndRaise_Cashabove250_Chng
NM,4,FndRaise_Cashabove250_Chng
NV,3,FndRaise_Cashabove250_Chng
OK,3,FndRaise_Cashabove250_Chng
TN,7,FndRaise_Cashabove250_Chng
TX,16,FndRaise_Cashabove250_Chng
UT,7,FndRaise_Cashabove250_Chng
WY,6,FndRaise_Cashabove250_Chng
AL,3,FndRaise_RstrGift_Chng
AR,2,FndRaise_RstrGift_Chng
AZ,1,FndRaise_RstrGift_Chng
CO,14,FndRaise_RstrGift_Chng
ID,1,FndRaise_RstrGift_Chng
KY,6,FndRaise_RstrGift_Chng
LA,3,FndRaise_RstrGift_Chng
MS,1,FndRaise_RstrGift_Chng
MT,1,FndRaise_RstrGift_Chng
NM,4,FndRaise_RstrGift_Chng
NV,3,FndRaise_RstrGift_Chng
OK,4,FndRaise_RstrGift_Chng
TN,7,FndRaise_RstrGift_Chng
TX,16,FndRaise_RstrGift_Chng
UT,7,FndRaise_RstrGift_Chng
WY,6,FndRaise_RstrGift_Chng
AL,3,FndRaise_UnrstrGift_Chng
AR,2,FndRaise_UnrstrGift_Chng
AZ,1,FndRaise_UnrstrGift_Chng
CO,14,FndRaise_UnrstrGift_Chng
ID,1,FndRaise_UnrstrGift_Chng
KY,6,FndRaise_UnrstrGift_Chng
LA,3,FndRaise_UnrstrGift_Chng
MS,1,FndRaise_UnrstrGift_Chng
MT,1,FndRaise_UnrstrGift_Chng
NM,4,FndRaise_UnrstrGift_Chng
NV,3,FndRaise_UnrstrGift_Chng
OK,4,FndRaise_UnrstrGift_Chng
TN,7,FndRaise_UnrstrGift_Chng
TX,16,FndRaise_UnrstrGift_Chng
UT,7,FndRaise_UnrstrGift_Chng
WY,6,FndRaise_UnrstrGift_Chng
AL,1,FndRaise_DAF_Rcv
AR,1,FndRaise_DAF_Rcv
AZ,1,FndRaise_DAF_Rcv
CO,8,FndRaise_DAF_Rcv
ID,1,FndRaise_DAF_Rcv
KY,2,FndRaise_DAF_Rcv
NM,2,FndRaise_DAF_Rcv
NV,2,FndRaise_DAF_Rcv
OK,1,FndRaise_DAF_Rcv
TN,3,FndRaise_DAF_Rcv
TX,8,FndRaise_DAF_Rcv
UT,3,FndRaise_DAF_Rcv
WY,5,FndRaise_DAF_Rcv
AL,3,DonImportance
AR,2,DonImportance
AZ,1,DonImportance
CO,16,DonImportance
ID,1,DonImportance
KY,6,DonImportance
LA,3,DonImportance
MS,1,DonImportance
MT,1,DonImportance
NM,4,DonImportance
NV,3,DonImportance
OK,4,DonImportance
TN,9,DonImportance
TX,17,DonImportance
UT,7,DonImportance
WY,6,DonImportance
AL,3,FndRaise_DvlpVirtual
AR,2,FndRaise_DvlpVirtual
AZ,1,FndRaise_DvlpVirtual
CO,14,FndRaise_DvlpVirtual
ID,1,FndRaise_DvlpVirtual
KY,6,FndRaise_DvlpVirtual
LA,3,FndRaise_DvlpVirtual
MS,1,FndRaise_DvlpVirtual
MT,1,FndRaise_DvlpVirtual
NM,4,FndRaise_DvlpVirtual
NV,3,FndRaise_DvlpVirtual
OK,4,FndRaise_DvlpVirtual
TN,9,FndRaise_DvlpVirtual
TX,17,FndRaise_DvlpVirtual
UT,7,FndRaise_DvlpVirtual
WY,6,FndRaise_DvlpVirtual
AL,3,FndRaise_IncrExp
AR,2,FndRaise_IncrExp
AZ,1,FndRaise_IncrExp
CO,13,FndRaise_IncrExp
ID,1,FndRaise_IncrExp
KY,6,FndRaise_IncrExp
LA,3,FndRaise_IncrExp
MS,1,FndRaise_IncrExp
MT,1,FndRaise_IncrExp
NM,4,FndRaise_IncrExp
NV,3,FndRaise_IncrExp
OK,4,FndRaise_IncrExp
TN,9,FndRaise_IncrExp
TX,17,FndRaise_IncrExp
UT,7,FndRaise_IncrExp
WY,6,FndRaise_IncrExp
AL,3,FndRaise_IncStaff
AR,2,FndRaise_IncStaff
AZ,1,FndRaise_IncStaff
CO,14,FndRaise_IncStaff
ID,1,FndRaise_IncStaff
KY,6,FndRaise_IncStaff
LA,3,FndRaise_IncStaff
MS,1,FndRaise_IncStaff
MT,1,FndRaise_IncStaff
NM,4,FndRaise_IncStaff
NV,3,FndRaise_IncStaff
OK,4,FndRaise_IncStaff
TN,9,FndRaise_IncStaff
TX,17,FndRaise_IncStaff
UT,7,FndRaise_IncStaff
WY,6,FndRaise_IncStaff
AL,3,FndRaise_IncrCnslt
AR,2,FndRaise_IncrCnslt
AZ,1,FndRaise_IncrCnslt
CO,13,FndRaise_IncrCnslt
ID,1,FndRaise_IncrCnslt
KY,6,FndRaise_IncrCnslt
LA,3,FndRaise_IncrCnslt
MS,1,FndRaise_IncrCnslt
MT,1,FndRaise_IncrCnslt
NM,4,FndRaise_IncrCnslt
NV,3,FndRaise_IncrCnslt
OK,4,FndRaise_IncrCnslt
TN,9,FndRaise_IncrCnslt
TX,17,FndRaise_IncrCnslt
UT,7,FndRaise_IncrCnslt
WY,6,FndRaise_IncrCnslt
AL,3,FndRaise_DcrsCnslt
AR,2,FndRaise_DcrsCnslt
AZ,1,FndRaise_DcrsCnslt
CO,13,FndRaise_DcrsCnslt
ID,1,FndRaise_DcrsCnslt
KY,6,FndRaise_DcrsCnslt
LA,3,FndRaise_DcrsCnslt
MS,1,FndRaise_DcrsCnslt
MT,1,FndRaise_DcrsCnslt
NM,4,FndRaise_DcrsCnslt
NV,2,FndRaise_DcrsCnslt
OK,4,FndRaise_DcrsCnslt
TN,9,FndRaise_DcrsCnslt
TX,17,FndRaise_DcrsCnslt
UT,7,FndRaise_DcrsCnslt
WY,6,FndRaise_DcrsCnslt
AL,3,FndRaise_IncrVolntr
AR,2,FndRaise_IncrVolntr
AZ,1,FndRaise_IncrVolntr
CO,13,FndRaise_IncrVolntr
ID,1,FndRaise_IncrVolntr
KY,6,FndRaise_IncrVolntr
LA,3,FndRaise_IncrVolntr
MS,1,FndRaise_IncrVolntr
MT,1,FndRaise_IncrVolntr
NM,4,FndRaise_IncrVolntr
NV,3,FndRaise_IncrVolntr
OK,4,FndRaise_IncrVolntr
TN,9,FndRaise_IncrVolntr
TX,17,FndRaise_IncrVolntr
UT,7,FndRaise_IncrVolntr
WY,6,FndRaise_IncrVolntr
AL,3,FndRaise_DcrsVolntr
AR,2,FndRaise_DcrsVolntr
AZ,1,FndRaise_DcrsVolntr
CO,13,FndRaise_DcrsVolntr
ID,1,FndRaise_DcrsVolntr
KY,6,FndRaise_DcrsVolntr
LA,3,FndRaise_DcrsVolntr
MS,1,FndRaise_DcrsVolntr
MT,1,FndRaise_DcrsVolntr
NM,4,FndRaise_DcrsVolntr
NV,3,FndRaise_DcrsVolntr
OK,4,FndRaise_DcrsVolntr
TN,9,FndRaise_DcrsVolntr
TX,17,FndRaise_DcrsVolntr
UT,7,FndRaise_DcrsVolntr
WY,6,FndRaise_DcrsVolntr
AL,1,FndRaise_DAF_Seek
AR,1,FndRaise_DAF_Seek
CO,6,FndRaise_DAF_Seek
ID,1,FndRaise_DAF_Seek
KY,2,FndRaise_DAF_Seek
NM,2,FndRaise_DAF_Seek
OK,1,FndRaise_DAF_Seek
TN,2,FndRaise_DAF_Seek
TX,7,FndRaise_DAF_Seek
UT,2,FndRaise_DAF_Seek
WY,4,FndRaise_DAF_Seek
AL,3,VolImportance
AR,2,VolImportance
AZ,1,VolImportance
CO,16,VolImportance
ID,1,VolImportance
KY,6,VolImportance
LA,3,VolImportance
MS,1,VolImportance
MT,1,VolImportance
NM,4,VolImportance
NV,3,VolImportance
OK,4,VolImportance
TN,9,VolImportance
TX,17,VolImportance
UT,7,VolImportance
WY,6,VolImportance
CO,1,CEOrace
OK,1,CEOrace
TN,1,CEOrace
TX,2,CEOrace
UT,1,CEOrace
AL,2,BCrace
CO,7,BCrace
KY,2,BCrace
LA,2,BCrace
MS,1,BCrace
MT,1,BCrace
NM,2,BCrace
NV,1,BCrace
TN,4,BCrace
TX,6,BCrace
UT,4,BCrace
WY,2,BCrace
CO,1,CEOgender
OK,1,CEOgender
TN,1,CEOgender
TX,2,CEOgender
UT,1,CEOgender
AL,2,BChairgender
CO,7,BChairgender
KY,2,BChairgender
LA,2,BChairgender
MS,1,BChairgender
MT,1,BChairgender
NM,2,BChairgender
NV,1,BChairgender
TN,4,BChairgender
TX,6,BChairgender
UT,4,BChairgender
WY,2,BChairgender
AL,3,LeadershipChng_HireCEO
AR,2,LeadershipChng_HireCEO
AZ,1,LeadershipChng_HireCEO
CO,15,LeadershipChng_HireCEO
ID,1,LeadershipChng_HireCEO
KY,6,LeadershipChng_HireCEO
LA,3,LeadershipChng_HireCEO
MS,1,LeadershipChng_HireCEO
MT,1,LeadershipChng_HireCEO
NM,3,LeadershipChng_HireCEO
NV,3,LeadershipChng_HireCEO
OK,4,LeadershipChng_HireCEO
TN,9,LeadershipChng_HireCEO
TX,17,LeadershipChng_HireCEO
UT,7,LeadershipChng_HireCEO
WY,6,LeadershipChng_HireCEO
AL,3,LeadershipChng_IntrmCEO
AR,2,LeadershipChng_IntrmCEO
AZ,1,LeadershipChng_IntrmCEO
CO,15,LeadershipChng_IntrmCEO
ID,1,LeadershipChng_IntrmCEO
KY,6,LeadershipChng_IntrmCEO
LA,3,LeadershipChng_IntrmCEO
MS,1,LeadershipChng_IntrmCEO
MT,1,LeadershipChng_IntrmCEO
NM,3,LeadershipChng_IntrmCEO
NV,3,LeadershipChng_IntrmCEO
OK,4,LeadershipChng_IntrmCEO
TN,9,LeadershipChng_IntrmCEO
TX,17,LeadershipChng_IntrmCEO
UT,7,LeadershipChng_IntrmCEO
WY,6,LeadershipChng_IntrmCEO
AL,3,LeadershipChng_ChngBC
AR,2,LeadershipChng_ChngBC
AZ,1,LeadershipChng_ChngBC
CO,15,LeadershipChng_ChngBC
ID,1,LeadershipChng_ChngBC
KY,6,LeadershipChng_ChngBC
LA,3,LeadershipChng_ChngBC
MS,1,LeadershipChng_ChngBC
MT,1,LeadershipChng_ChngBC
NM,4,LeadershipChng_ChngBC
NV,3,LeadershipChng_ChngBC
OK,4,LeadershipChng_ChngBC
TN,9,LeadershipChng_ChngBC
TX,17,LeadershipChng_ChngBC
UT,7,LeadershipChng_ChngBC
WY,6,LeadershipChng_ChngBC
